time,pitch,roll
1487475887937,2.1169865,-89.673134
1487475887948,2.1341147,-89.69127
1487475887951,2.1435401,-89.71609
1487475887955,2.1528802,-89.74092
1487475887958,2.1430755,-89.76454
1487475887965,2.1313126,-89.77844
1487475887967,2.1213334,-89.79712
1487475887974,2.10941,-89.81101
1487475887976,2.09925,-89.82967
1487475887984,2.1003711,-89.851295
1487475887986,2.101386,-89.87293
1487475887998,2.1004803,-89.8898
1487475888000,2.0994859,-89.90668
1487475888003,2.1002002,-89.92835
1487475888005,2.1025925,-89.95484
1487475888015,2.103081,-89.97161
1487475888017,2.103464,-89.99333
1487475888023,2.1072538,-90.01973
1487475888025,2.0995953,-90.0431
1487475888033,2.1030982,-90.06954
1487475888036,2.09517,-90.08799
1487475888043,2.0888238,-90.11125
1487475888045,2.0727587,-90.1313
1487475888053,2.0756738,-90.14793
1487475888056,2.0784454,-90.15964
1487475888064,2.081063,-90.17139
1487475888067,2.0723042,-90.18001
1487475888072,2.065063,-90.19345
1487475888083,2.057668,-90.20198
1487475888085,2.038914,-90.202385
1487475888092,2.0216398,-90.20762
1487475888095,2.0042052,-90.217766
1487475888102,1.9866136,-90.22295
1487475888105,1.968865,-90.228134
1487475888114,1.9429293,-90.234795
1487475888117,1.9152446,-90.241516
1487475888122,1.8889441,-90.253044
1487475888124,1.8639868,-90.264435
1487475888137,1.8372977,-90.27095
1487475888139,1.8134345,-90.287125
1487475888148,1.8070896,-90.29044
1487475888153,1.7938769,-90.30499
1487475888155,1.7804046,-90.319534
1487475888157,1.7652206,-90.32429
1487475888165,1.760878,-90.3275
1487475888170,1.7437944,-90.32246
1487475888172,1.7182755,-90.31877
1487475888174,1.6925143,-90.31505
1487475888182,1.6665143,-90.311295
1487475888184,1.6513004,-90.310974
1487475888191,1.6344708,-90.31069
1487475888193,1.6353899,-90.302795
1487475888201,1.6277779,-90.301155
1487475888203,1.6199405,-90.29953
1487475888213,1.6009076,-90.29928
1487475888215,1.5913415,-90.29277
1487475888221,1.5609459,-90.28398
1487475888223,1.5328944,-90.28492
1487475888232,1.5142858,-90.289444
1487475888234,1.5038935,-90.2878
1487475888241,1.494526,-90.28613
1487475888245,1.4849333,-90.29431
1487475888252,1.4836076,-90.29144
1487475888254,1.4820875,-90.2886
1487475888264,1.4695022,-90.28207
1487475888266,1.4676027,-90.27433
1487475888271,1.4546586,-90.2678
1487475888273,1.4415406,-90.25634
1487475888281,1.4390742,-90.25355
1487475888283,1.4364129,-90.25078
1487475888290,1.4335569,-90.248024
1487475888293,1.4305063,-90.240364
1487475888301,1.4283302,-90.24256
1487475888304,1.425932,-90.23986
1487475888314,1.4222666,-90.232254
1487475888316,1.4204696,-90.23451
1487475888321,1.4087011,-90.23782
1487475888323,1.4084039,-90.24505
1487475888331,1.4165274,-90.25128
1487475888335,1.4165889,-90.2586
1487475888340,1.4250815,-90.26496
1487475888342,1.42447,-90.26745
1487475888350,1.4226015,-90.26993
1487475888353,1.4310461,-90.27155
1487475888364,1.4488785,-90.27723
1487475888367,1.4760989,-90.28212
1487475888370,1.5029745,-90.29203
1487475888373,1.5108867,-90.30872
1487475888381,1.5281491,-90.32464
1487475888383,1.5247806,-90.337326
1487475888390,1.5315791,-90.35417
1487475888392,1.5380018,-90.371086
1487475888400,1.5545163,-90.39713
1487475888402,1.5796267,-90.41753
1487475888414,1.6043615,-90.43803
1487475888417,1.6377609,-90.45294
1487475888420,1.6610854,-90.47357
1487475888422,1.6840686,-90.4943
1487475888431,1.7157985,-90.50946
1487475888433,1.7478365,-90.53461
1487475888439,1.7692045,-90.55553
1487475888441,1.8005736,-90.58089
1487475888450,1.8213068,-90.597115
1487475888452,1.8422862,-90.61841
1487475888464,1.8629242,-90.63979
1487475888466,1.8729802,-90.651955
1487475888470,1.883231,-90.66917
1487475888472,1.9023695,-90.68088
1487475888481,1.9114825,-90.6932
1487475888484,1.9207425,-90.705696
1487475888490,1.9495345,-90.73201
1487475888491,1.9673922,-90.74401
1487475888499,1.9950575,-90.75576
1487475888501,2.0223813,-90.77249
1487475888510,2.059438,-90.79878
1487475888511,2.0860522,-90.81573
1487475888519,2.1123219,-90.83277
1487475888520,2.128541,-90.8503
1487475888530,2.1350102,-90.863594
1487475888533,2.14082,-90.87188
1487475888539,2.146551,-90.88522
1487475888540,2.1419508,-90.89389
1487475888548,2.1566565,-90.90213
1487475888549,2.170771,-90.905396
1487475888558,2.2039557,-90.90818
1487475888559,2.2269087,-90.90145
1487475888569,2.240012,-90.90494
1487475888570,2.2526302,-90.89859
1487475888579,2.2552345,-90.892494
1487475888581,2.2575312,-90.88642
1487475888587,2.2596161,-90.8854
1487475888589,2.2612805,-90.8842
1487475888597,2.2528696,-90.87812
1487475888599,2.2539322,-90.87208
1487475888607,2.244954,-90.86595
1487475888617,2.2259927,-90.8599
1487475888619,2.1873393,-90.85393
1487475888628,2.148393,-90.84783
1487475888632,2.1091607,-90.84162
1487475888637,2.0793507,-90.83524
1487475888638,2.0492,-90.838684
1487475888647,2.0283785,-90.84221
1487475888648,2.0169308,-90.85054
1487475888657,2.0052543,-90.844086
1487475888658,1.9930105,-90.84765
1487475888667,1.980538,-90.846146
1487475888668,1.9870032,-90.84495
1487475888678,1.9930925,-90.84378
1487475888679,1.9990042,-90.83759
1487475888686,2.0140774,-90.83175
1487475888687,2.0192852,-90.815895
1487475888697,2.03387,-90.80025
1487475888698,2.028406,-90.79413
1487475888707,2.032568,-90.77345
1487475888708,2.0363886,-90.757645
1487475888716,2.0395463,-90.74202
1487475888718,2.0430043,-90.71633
1487475888728,2.0457962,-90.70054
1487475888732,2.0385346,-90.67957
1487475888736,2.0305417,-90.66359
1487475888737,2.0225794,-90.64254
1487475888746,2.0138521,-90.62646
1487475888748,2.0047483,-90.615204
1487475888756,1.9860156,-90.58873
1487475888757,1.9766527,-90.572334
1487475888766,1.9664526,-90.55603
1487475888768,1.9563892,-90.53465
1487475888779,1.9362696,-90.5176
1487475888782,1.9158083,-90.50046
1487475888786,1.895006,-90.47834
1487475888788,1.884157,-90.45653
1487475888796,1.8626884,-90.44398
1487475888798,1.8505926,-90.427025
1487475888806,1.8387841,-90.40988
1487475888808,1.835736,-90.39341
1487475888816,1.8226326,-90.38115
1487475888819,1.8091873,-90.36393
1487475888830,1.8051146,-90.35218
1487475888832,1.7917004,-90.334724
1487475888836,1.7675338,-90.31658
1487475888838,1.7534877,-90.29895
1487475888846,1.7286552,-90.28548
1487475888848,1.7139773,-90.26278
1487475888856,1.6981927,-90.244965
1487475888857,1.6836927,-90.22201
1487475888866,1.6672591,-90.213806
1487475888868,1.6416147,-90.19482
1487475888879,1.6253796,-90.17656
1487475888881,1.5991173,-90.15733
1487475888885,1.581369,-90.14873
1487475888888,1.5632793,-90.13512
1487475888897,1.5439188,-90.13125
1487475888899,1.5338954,-90.123314
1487475888905,1.5128133,-90.11928
1487475888907,1.501034,-90.12101
1487475888915,1.4975461,-90.12367
1487475888918,1.4946285,-90.12134
1487475888924,1.4912944,-90.11896
